I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
2;3;4;*;;-;6;2;-1;10;2;0;-20%;10;0;40%;10%;18;3;2;5;28%;0%;1;0;12 Julia Kπkol ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;*;*;1;;-;2;1;-3;3;1;0;-33%;16;2;44%;31%;14;1;1;2;14%;0%;0;0;13 Renata Bia≥a ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
4;5;6;3;;-;2;0;0;13;1;0;-8%;0;0;-;-;7;0;1;0;0%;-14%;2;0;14 Paulina Zaborowska ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;15 Kornelia Moskwa ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;18 Katarzyna Skorupa ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;19 Zuzanna ZieliÒska (L);E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
1;4;2;6;;-;8;2;5;12;1;0;-8%;1;0;0%;0%;15;0;2;4;27%;13%;4;0;1 Maja Tokarska ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
5;2;6;4;;-;8;1;2;7;2;0;-28%;0;0;-;-;26;2;2;5;19%;4%;3;0;3 Julie Oliveira Souza ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
6;3;1;5;;-;10;2;2;11;1;1;0%;29;0;41%;17%;44;3;4;9;20%;5%;0;0;4 Jessica Rivero Marin ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
3;6;4;2;;-;25;12;19;11;1;1;0%;33;0;52%;30%;45;4;1;21;47%;36%;3;0;6 Olivia RÛøaÒski ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;7 Daria Szczyrba ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
4;1;5;3;;-;10;3;7;11;0;0;0%;0;0;-;-;15;2;1;7;47%;27%;3;0;10 Shelly Stafford ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
*;*;*;*;;-;0;0;0;0;0;0;-;16;0;63%;50%;0;0;0;0;-;-;0;0;11 Izabela LemaÒczyk (L);DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
*;*;*;*;;-;1;1;0;5;1;1;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana Dπbrowska ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
*;*;;;;-;1;1;1;2;0;0;0%;0;0;-;-;0;0;0;0;-;-;1;0;17 Paulina Majkowska ;DPD I£Capital Legionovia Legionowo;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
