Druzyna Home;Druzyna Away;Wynik Home;Wynik Away;Lokalizacja;Data meczu;Klucz;Sezon
KPS Chemik Police;Beef Master Budowlani £ódŸ;3;0;H;26.10.2013, 18:00;26.10.2013KPS Chemik Police-3:0-Beef Master Budowlani £ódŸ;2013/2014
KPS Chemik Police;Beef Master Budowlani £ódŸ;3;0;A;26.10.2013, 18:00;26.10.2013KPS Chemik Police-3:0-Beef Master Budowlani £ódŸ;2013/2014
KS Pa³ac Bydgoszcz;PGNiG Nafta Pi³a;3;0;H;28.10.2013, 18:00;28.10.2013KS Pa³ac Bydgoszcz-3:0-PGNiG Nafta Pi³a;2013/2014
KS Pa³ac Bydgoszcz;PGNiG Nafta Pi³a;3;0;A;28.10.2013, 18:00;28.10.2013KS Pa³ac Bydgoszcz-3:0-PGNiG Nafta Pi³a;2013/2014
Siódemka SK Bank Legionovia Legionowo;Impel Wroc³aw;3;1;H;25.10.2013, 18:00;25.10.2013Siódemka SK Bank Legionovia Legionowo-3:1-Impel Wroc³aw;2013/2014
Siódemka SK Bank Legionovia Legionowo;Impel Wroc³aw;3;1;A;25.10.2013, 18:00;25.10.2013Siódemka SK Bank Legionovia Legionowo-3:1-Impel Wroc³aw;2013/2014
Atom Trefl Sopot;BKS Aluprof Bielsko-Bia³a;3;0;H;26.10.2013, 18:00;26.10.2013Atom Trefl Sopot-3:0-BKS Aluprof Bielsko-Bia³a;2013/2014
Atom Trefl Sopot;BKS Aluprof Bielsko-Bia³a;3;0;A;26.10.2013, 18:00;26.10.2013Atom Trefl Sopot-3:0-BKS Aluprof Bielsko-Bia³a;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Polski Cukier Muszynianka Fakro Bank BPS;2;3;H;27.10.2013, 17:00;27.10.2013Tauron Banimex MKS D¹browa Górnicza-2:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Polski Cukier Muszynianka Fakro Bank BPS;2;3;A;27.10.2013, 17:00;27.10.2013Tauron Banimex MKS D¹browa Górnicza-2:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;KPS Chemik Police;0;3;H;04.11.2013, 18:00;04.11.2013Polski Cukier Muszynianka Fakro Bank BPS-0:3-KPS Chemik Police;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;KPS Chemik Police;0;3;A;04.11.2013, 18:00;04.11.2013Polski Cukier Muszynianka Fakro Bank BPS-0:3-KPS Chemik Police;2013/2014
BKS Aluprof Bielsko-Bia³a;Tauron Banimex MKS D¹browa Górnicza;1;3;H;03.11.2013, 18:00;03.11.2013BKS Aluprof Bielsko-Bia³a-1:3-Tauron Banimex MKS D¹browa Górnicza;2013/2014
BKS Aluprof Bielsko-Bia³a;Tauron Banimex MKS D¹browa Górnicza;1;3;A;03.11.2013, 18:00;03.11.2013BKS Aluprof Bielsko-Bia³a-1:3-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;0;H;03.11.2013, 14:45;03.11.2013Impel Wroc³aw-3:0-Atom Trefl Sopot;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;0;A;03.11.2013, 14:45;03.11.2013Impel Wroc³aw-3:0-Atom Trefl Sopot;2013/2014
PGNiG Nafta Pi³a;Siódemka SK Bank Legionovia Legionowo;3;2;H;02.11.2013, 18:00;02.11.2013PGNiG Nafta Pi³a-3:2-Siódemka SK Bank Legionovia Legionowo;2013/2014
PGNiG Nafta Pi³a;Siódemka SK Bank Legionovia Legionowo;3;2;A;02.11.2013, 18:00;02.11.2013PGNiG Nafta Pi³a-3:2-Siódemka SK Bank Legionovia Legionowo;2013/2014
Beef Master Budowlani £ódŸ;KS Pa³ac Bydgoszcz;3;1;H;02.11.2013, 18:00;02.11.2013Beef Master Budowlani £ódŸ-3:1-KS Pa³ac Bydgoszcz;2013/2014
Beef Master Budowlani £ódŸ;KS Pa³ac Bydgoszcz;3;1;A;02.11.2013, 18:00;02.11.2013Beef Master Budowlani £ódŸ-3:1-KS Pa³ac Bydgoszcz;2013/2014
KPS Chemik Police;KS Pa³ac Bydgoszcz;3;1;H;09.11.2013, 18:00;09.11.2013KPS Chemik Police-3:1-KS Pa³ac Bydgoszcz;2013/2014
KPS Chemik Police;KS Pa³ac Bydgoszcz;3;1;A;09.11.2013, 18:00;09.11.2013KPS Chemik Police-3:1-KS Pa³ac Bydgoszcz;2013/2014
Siódemka SK Bank Legionovia Legionowo;Beef Master Budowlani £ódŸ;2;3;H;09.11.2013, 18:00;09.11.2013Siódemka SK Bank Legionovia Legionowo-2:3-Beef Master Budowlani £ódŸ;2013/2014
Siódemka SK Bank Legionovia Legionowo;Beef Master Budowlani £ódŸ;2;3;A;09.11.2013, 18:00;09.11.2013Siódemka SK Bank Legionovia Legionowo-2:3-Beef Master Budowlani £ódŸ;2013/2014
Atom Trefl Sopot;PGNiG Nafta Pi³a;3;0;H;09.11.2013, 18:00;09.11.2013Atom Trefl Sopot-3:0-PGNiG Nafta Pi³a;2013/2014
Atom Trefl Sopot;PGNiG Nafta Pi³a;3;0;A;09.11.2013, 18:00;09.11.2013Atom Trefl Sopot-3:0-PGNiG Nafta Pi³a;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Impel Wroc³aw;2;3;H;11.11.2013, 18:00;11.11.2013Tauron Banimex MKS D¹browa Górnicza-2:3-Impel Wroc³aw;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Impel Wroc³aw;2;3;A;11.11.2013, 18:00;11.11.2013Tauron Banimex MKS D¹browa Górnicza-2:3-Impel Wroc³aw;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;BKS Aluprof Bielsko-Bia³a;1;3;H;10.11.2013, 14:45;10.11.2013Polski Cukier Muszynianka Fakro Bank BPS-1:3-BKS Aluprof Bielsko-Bia³a;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;BKS Aluprof Bielsko-Bia³a;1;3;A;10.11.2013, 14:45;10.11.2013Polski Cukier Muszynianka Fakro Bank BPS-1:3-BKS Aluprof Bielsko-Bia³a;2013/2014
BKS Aluprof Bielsko-Bia³a;KPS Chemik Police;0;3;H;16.11.2013, 18:00;16.11.2013BKS Aluprof Bielsko-Bia³a-0:3-KPS Chemik Police;2013/2014
BKS Aluprof Bielsko-Bia³a;KPS Chemik Police;0;3;A;16.11.2013, 18:00;16.11.2013BKS Aluprof Bielsko-Bia³a-0:3-KPS Chemik Police;2013/2014
Impel Wroc³aw;Polski Cukier Muszynianka Fakro Bank BPS;3;2;H;18.11.2013, 20:30;18.11.2013Impel Wroc³aw-3:2-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
